h3name,entity,category
NOSFSHOT,vampireLord,creature:necropolis
NOSFWNCE,vampireLord,creature:necropolis
NSENATTK,naga,creature:tower
NSENDFND,naga,creature:tower
NSENKILL,naga,creature:tower
NSENMOVE,naga,creature:tower
NSENWNCE,naga,creature:tower
NWHEROLV,heroNewLevel,misc
OBELISK,OBELISK,misc
OGREATTK,ogre,creature:stronghold
OGREDFND,ogre,creature:stronghold
OGREKILL,ogre,creature:stronghold
OGREMOVE,ogre,creature:stronghold
OGREWNCE,ogre,creature:stronghold
OGRGATTK,obsidianGargoyle,creature:tower
OGRGDFND,obsidianGargoyle,creature:tower
OGRGKILL,obsidianGargoyle,creature:tower
OGRGMOVE,obsidianGargoyle,creature:tower
OGRGWNCE,obsidianGargoyle,creature:tower
OGRMATTK,ogreMage,creature:stronghold
OGRMDFND,ogreMage,creature:stronghold
OGRMKILL,ogreMage,creature:stronghold
OGRMMOVE,ogreMage,creature:stronghold
OGRMSHOT,ogreMage,creature:stronghold
OGRMWNCE,ogreMage,creature:stronghold
OORCATTK,orc,creature:stronghold
OORCDFND,orc,creature:stronghold
OORCKILL,orc,creature:stronghold
OORCMOVE,orc,creature:stronghold
OORCSHOT,orc,creature:stronghold
OORCWNCE,orc,creature:stronghold
ORCCATTK,orcChieftain,creature:stronghold
ORCCDFND,orcChieftain,creature:stronghold
ORCCKILL,orcChieftain,creature:stronghold
ORCCMOVE,orcChieftain,creature:stronghold
ORCCSHOT,orcChieftain,creature:stronghold
ORCCWNCE,orcChieftain,creature:stronghold
PARALYZE,paralyze,spell
PEGAATTK,pegasus,creature:rampart
PEGADFND,pegasus,creature:rampart
PEGAKILL,pegasus,creature:rampart
PEGAMOVE,pegasus,creature:rampart
PEGAWNCE,pegasus,creature:rampart
PFNDATTK,pitFiend,creature:inferno
PFNDDFND,pitFiend,creature:inferno
PFNDKILL,pitFiend,creature:inferno
PFNDMOVE,pitFiend,creature:inferno
PFNDWNCE,pitFiend,creature:inferno
PFOEATTK,pitLord,creature:inferno
PFOEDFND,pitLord,creature:inferno
PFOEKILL,pitLord,creature:inferno
PFOEMOVE,pitLord,creature:inferno
PFOEWNCE,pitLord,creature:inferno
PHOEATTK,phoenix,creature:conflux
PHOEDFND,phoenix,creature:conflux
PHOEKILL,phoenix,creature:conflux
PHOEMOVE,phoenix,creature:conflux
PHOEWNCE,phoenix,creature:conflux
PICKUP01,pickup01,misc
PICKUP02,pickup02,misc
PICKUP03,pickup03,misc
PICKUP04,pickup04,misc
PICKUP05,pickup05,misc
PICKUP06,pickup06,misc
PICKUP07,pickup07,misc
PIKEATTK,pikeman,creature:castle
PIKEDFND,pikeman,creature:castle
PIKEKILL,pikeman,creature:castle
PIKEMOVE,pikeman,creature:castle
PIKEWNCE,pikeman,creature:castle
PIXIATTK,pixie,creature:conflux
PIXIDFND,pixie,creature:conflux
PIXIKILL,pixie,creature:conflux
PIXIMOVE,pixie,creature:conflux
PIXIWNCE,pixie,creature:conflux
PLAYCOME,PLAYCOME,misc
PLAYEXIT,PLAYEXIT,misc
PLAYTURN,PLAYTURN,misc
PLCHATTK,powerLich,creature:necropolis
PLCHDFND,powerLich,creature:necropolis
PLCHKILL,powerLich,creature:necropolis
PLCHMOVE,powerLich,creature:necropolis
PLCHSHOT,powerLich,creature:necropolis
PLCHWNCE,powerLich,creature:necropolis
PLIZATTK,lizardman,creature:fortress
PLIZDFND,lizardman,creature:fortress
PLIZKILL,lizardman,creature:fortress
PLIZMOVE,lizardman,creature:fortress
PLIZSHOT,lizardman,creature:fortress
PLIZWNCE,lizardman,creature:fortress
POISON,poison,spell
PRAYER,prayer,spell
PRECION,PRECISION,misc
PRECISON,precision,spell
PROTECT,PROTECT,misc
PROTECTA,protectAir,spell
PROTECTE,protectEarth,spell
PROTECTF,protectFire,spell
PROTECTW,protectWater,spell
PSNTATTK,peasant,creature:neutral
PSNTDFND,peasant,creature:neutral
PSNTKILL,peasant,creature:neutral
PSNTMOVE,peasant,creature:neutral
PSNTWNCE,peasant,creature:neutral
PSYCATTK,psychicElemental,creature:conflux
PSYCDFND,psychicElemental,creature:conflux
PSYCKILL,psychicElemental,creature:conflux
PSYCMOVE,psychicElemental,creature:conflux
PSYCWNCE,psychicElemental,creature:conflux
QUEST,QUEST,misc
QUIKSAND,QUIKSAND,misc
RDDRATTK,redDragon,creature:dungeon
RDDRDFND,redDragon,creature:dungeon
RDDRKILL,redDragon,creature:dungeon
RDDRMOVE,redDragon,creature:dungeon
RDDRWNCE,redDragon,creature:dungeon
REGENER,REGENER,misc
REMOVEOB,removeObstacle,spell
RESURECT,resurrection,spell
RGRFATTK,royalGriffin,creature:castle
RGRFDFND,royalGriffin,creature:castle
RGRFKILL,royalGriffin,creature:castle
RGRFMOVE,royalGriffin,creature:castle
RGRFWNCE,royalGriffin,creature:castle
ROCCATTK,roc,creature:stronghold
ROCCDFND,roc,creature:stronghold
ROCCKILL,roc,creature:stronghold
ROCCMOVE,roc,creature:stronghold
ROCCWNCE,roc,creature:stronghold
ROGUATTK,rogue,creature:neutral
ROGUDFND,rogue,creature:neutral
ROGUE,ROGUE,misc
ROGUKILL,rogue,creature:neutral
ROGUMOVE,rogue,creature:neutral
ROGUWNCE,rogue,creature:neutral
RSBRYFZL,RSBRYFZL,misc
RUSTATTK,rustDragon,creature:neutral
RUSTDFND,rustDragon,creature:neutral
RUSTKILL,rustDragon,creature:neutral
RUSTMOVE,rustDragon,creature:neutral
RUSTWNCE,rustDragon,creature:neutral
SACBRETH,destroyUndead,spell
SACRIF1,sacrifice,spell
SACRIF2,SACRIF2,misc
SCRPATTK,scorpicore,creature:dungeon
SCRPDFND,scorpicore,creature:dungeon
SCRPKILL,scorpicore,creature:dungeon
SCRPMOVE,scorpicore,creature:dungeon
SCRPSHOT,scorpicore,creature:dungeon
SCRPWNCE,scorpicore,creature:dungeon
SCUTBOAT,SCUTBOAT,misc
SGLMATTK,stoneGolem,creature:tower
SGLMDFND,stoneGolem,creature:tower
SGLMKILL,stoneGolem,creature:tower
SGLMMOVE,stoneGolem,creature:tower
SGLMWNCE,stoneGolem,creature:tower
SGRGATTK,stoneGargoyle,creature:tower
SGRGDFND,stoneGargoyle,creature:tower
SGRGKILL,stoneGargoyle,creature:tower
SGRGMOVE,stoneGargoyle,creature:tower
SGRGWNCE,stoneGargoyle,creature:tower
SHDMATTK,demon,creature:inferno
SHDMDFND,demon,creature:inferno
SHDMKILL,demon,creature:inferno
SHDMMOVE,demon,creature:inferno
SHDMWNCE,demon,creature:inferno
SHIELD,shield,spell
SKELATTK,skeleton,creature:necropolis
SKELDFND,skeleton,creature:necropolis
SKELKILL,skeleton,creature:necropolis
SKELMOVE,skeleton,creature:necropolis
SKELWNCE,skeleton,creature:necropolis
SKLWATTK,skeletonWarrior,creature:necropolis
SKLWDFND,skeletonWarrior,creature:necropolis
SKLWKILL,skeletonWarrior,creature:necropolis
SKLWMOVE,skeletonWarrior,creature:necropolis
SKLWWNCE,skeletonWarrior,creature:necropolis
SLAYER,slayer,spell
SORROW,sorrow,spell
SPONTCOMB,magog,creature:inferno
SPRTATTK,sprite,creature:conflux
SPRTDFND,sprite,creature:conflux
SPRTKILL,sprite,creature:conflux
SPRTMOVE,sprite,creature:conflux
SPRTWNCE,sprite,creature:conflux
STORATTK,stormElemental,creature:conflux
STORDFND,stormElemental,creature:conflux
STORE,STORE,misc
STORKILL,stormElemental,creature:conflux
STORM,STORM,misc
STORMOVE,stormElemental,creature:conflux
STORSHOT,stormElemental,creature:conflux
STORWNCE,stormElemental,creature:conflux
SUMMBOAT,SUMMBOAT,misc
SUMNELM,airElemental,spell
SWRDATTK,swordsman,creature:castle
SWRDDFND,swordsman,creature:castle
SWRDKILL,swordsman,creature:castle
SWRDMOVE,swordsman,creature:castle
SWRDWNCE,swordsman,creature:castle
SYSMSG,SYSMSG,misc
TAILWIND,haste,spell
TBRDATTK,thunderbird,creature:stronghold
TBRDDFND,thunderbird,creature:stronghold
TBRDKILL,thunderbird,creature:stronghold
TBRDMOVE,thunderbird,creature:stronghold
TBRDWNCE,thunderbird,creature:stronghold
TELEIN,TELEIN,misc
TELPTIN,TELPTIN,misc
TELPTOUT,teleport,spell
TEMPLE,temple,misc
TIMEOVER,timeOver,misc
TREASURE,treasure,misc
TREEATTK,dendroidGuard,creature:rampart
TREEDFND,dendroidGuard,creature:rampart
TREEKILL,dendroidGuard,creature:rampart
TREEMOVE,dendroidGuard,creature:rampart
TREEWNCE,dendroidGuard,creature:rampart
TRLLATTK,troll,creature:neutral
TRLLDFND,troll,creature:neutral
TRLLKILL,troll,creature:neutral
TRLLMOVE,troll,creature:neutral
TRLLWNCE,troll,creature:neutral
TROGATTK,troglodyte,creature:dungeon
TROGDFND,troglodyte,creature:dungeon
TROGKILL,troglodyte,creature:dungeon
TROGMOVE,troglodyte,creature:dungeon
TROGWNCE,troglodyte,creature:dungeon
TUFFSKIN,stoneSkin,spell
ULTIMATEARTIFACT,ULTIMATEARTIFACT,misc
UNICATTK,unicorn,creature:rampart
UNICDFND,unicorn,creature:rampart
UNICKILL,unicorn,creature:rampart
UNICMOVE,unicorn,creature:rampart
UNICWNCE,unicorn,creature:rampart
VAMPATTK,vampire,creature:necropolis
VAMPDFND,vampire,creature:necropolis
VAMPEXT1,vampire,creature:necropolis
VAMPEXT2,vampire,creature:necropolis
VAMPKILL,vampire,creature:necropolis
VAMPMOVE,vampire,creature:necropolis
VAMPWNCE,vampire,creature:necropolis
VIEW,VIEW,misc
VISIONS,VISIONS,misc
WALLHIT,WALLHIT,misc
WALLMISS,WALLMISS,misc
WATRWALK,WATRWALK,misc
WEAKNESS,weakness,spell
WELFATTK,woodElf,creature:rampart
WELFDFND,woodElf,creature:rampart
WELFKILL,woodElf,creature:rampart
WELFMOVE,woodElf,creature:rampart
WELFSHOT,woodElf,creature:rampart
WELFWNCE,woodElf,creature:rampart
WELMATTK,waterElemental,creature:conflux
WELMDFND,waterElemental,creature:conflux
WELMKILL,waterElemental,creature:conflux
WELMMOVE,waterElemental,creature:conflux
WELMWNCE,waterElemental,creature:conflux
WGHTATTK,wight,creature:necropolis
WGHTDFND,wight,creature:necropolis
WGHTKILL,wight,creature:necropolis
WGHTMOVE,wight,creature:necropolis
WGHTWNCE,wight,creature:necropolis
WRTHATTK,wraith,creature:necropolis
WRTHDFND,wraith,creature:necropolis
WRTHKILL,wraith,creature:necropolis
WRTHMOVE,wraith,creature:necropolis
WRTHWNCE,wraith,creature:necropolis
WUNCATTK,warUnicorn,creature:rampart
WUNCDFND,warUnicorn,creature:rampart
WUNCKILL,warUnicorn,creature:rampart
WUNCMOVE,warUnicorn,creature:rampart
WUNCSHOT,warUnicorn,creature:rampart
WUNCWNCE,warUnicorn,creature:rampart
WYVMATTK,wyvernMonarch,creature:fortress
WYVMDFND,wyvernMonarch,creature:fortress
WYVMKILL,wyvernMonarch,creature:fortress
WYVMMOVE,wyvernMonarch,creature:fortress
WYVMWNCE,wyvernMonarch,creature:fortress
WYVNATTK,wyvern,creature:fortress
WYVNDFND,wyvern,creature:fortress
WYVNKILL,wyvern,creature:fortress
WYVNMOVE,wyvern,creature:fortress
WYVNWNCE,wyvern,creature:fortress
YBMHATTK,behemoth,creature:stronghold
YBMHDFND,behemoth,creature:stronghold
YBMHKILL,behemoth,creature:stronghold
YBMHMOVE,behemoth,creature:stronghold
YBMHWNCE,behemoth,creature:stronghold
ZELTATTK,zealot,creature:castle
ZELTDFND,zealot,creature:castle
ZELTKILL,zealot,creature:castle
ZELTMOVE,zealot,creature:castle
ZELTSHOT,zealot,creature:castle
ZELTWNCE,zealot,creature:castle
ZMBLATTK,zombieLord,creature:necropolis
ZMBLDFND,zombieLord,creature:necropolis
ZMBLKILL,zombieLord,creature:necropolis
ZMBLMOVE,zombieLord,creature:necropolis
ZMBLWNCE,zombieLord,creature:necropolis
ZOMBATTK,walkingDead,creature:necropolis
ZOMBDFND,walkingDead,creature:necropolis
ZOMBKILL,walkingDead,creature:necropolis
ZOMBMOVE,walkingDead,creature:necropolis
ZOMBWNCE,walkingDead,creature:necropolis
